window_id,window_start,mmsi,lat,lon,err_mean_speed,err_speed_change,err_course_change,err_gap_minutes,err_neighbor_count,score,is_anomaly
6,2026-03-01 03:00:00+00:00,200000037,12.59714,44.796206,0.49943706,0.07980017,0.032402847,352.01834,0.20997289,70.56799080744386,True
4,2026-03-01 02:00:00+00:00,200000038,12.878537733333332,45.45402093333334,4.501873,23.757814,19.805902,0.008126002,1.541621,9.923067375272513,True
7,2026-03-01 03:30:00+00:00,200000039,12.8794392,45.45992726666667,3.9626207,16.25478,25.261068,0.043304525,2.3596385,9.576282374560833,True
4,2026-03-01 02:00:00+00:00,200000039,12.884196,45.45317286666667,4.623778,15.589347,25.047058,0.0063486095,1.6126372,9.375833725836127,True
10,2026-03-01 05:00:00+00:00,200000040,13.013648666666668,45.517714733333335,0.008445771,28.91022,8.593955,0.011424493,0.15445805,7.535700508579612,True
5,2026-03-01 02:30:00+00:00,200000038,12.879803266666666,45.45240146666666,8.828272,1.2893301,24.778316,0.057266835,0.3473067,7.060098404437303,True
6,2026-03-01 03:00:00+00:00,200000038,12.879724266666669,45.4523194,9.139132,0.2052587,24.600885,0.042040415,0.41508868,6.8804809466004375,True
1,2026-03-01 00:30:00+00:00,200000040,13.094542999999998,45.61771733333333,3.546107,25.691051,2.2739453,0.026237406,1.9892367,6.705315597355366,True
6,2026-03-01 03:00:00+00:00,200000039,12.882817666666666,45.45543466666666,9.050305,0.45450345,23.332897,0.04790065,0.46214527,6.669550383836031,True
8,2026-03-01 04:00:00+00:00,200000040,13.049543866666664,45.4706266,2.32667,26.609274,3.9492009,0.103943184,0.08986509,6.615790596604347,True
7,2026-03-01 03:30:00+00:00,200000038,12.883416866666666,45.44741566666666,4.1290493,14.338398,12.179607,0.045035183,2.2830536,6.5950286984443665,True
2,2026-03-01 01:00:00+00:00,200000040,13.079438533333333,45.5636566,0.90082085,16.682016,2.9794972,0.008034772,12.1431675,6.5427073372527955,True
9,2026-03-01 04:30:00+00:00,200000040,13.038636333333333,45.500323,1.173221,26.81798,4.297035,0.03622417,0.14135438,6.493162915110588,True
5,2026-03-01 02:30:00+00:00,200000039,12.8826802,45.4552404,8.934813,1.2858318,18.719831,0.0586886,0.41025132,5.881883148103952,True
11,2026-03-01 05:30:00+00:00,200000040,12.959315533333331,45.50504086666667,0.4036793,14.7978325,4.5094714,0.000786584,3.6029575,4.662945457571186,True
0,2026-03-01 00:00:00+00:00,200000040,13.107870600000002,45.641648933333336,0.718316,17.905933,3.9434438,0.04233848,0.63054067,4.648114464432001,True
0,2026-03-01 00:00:00+00:00,200000005,12.4746712,45.9785646,0.27019688,0.2899917,0.109947495,0.1262893,19.33726,4.0267369344830515,True
4,2026-03-01 02:00:00+00:00,200000028,12.986045666666666,45.573897,3.4273179,5.359584,7.9078765,0.0071544047,1.7532125,3.6910290121100844,True
5,2026-03-01 02:30:00+00:00,200000028,13.040581733333331,45.6808814,4.405761,3.2410178,8.28257,0.050562494,1.6332563,3.5226334556937218,True
5,2026-03-01 02:30:00+00:00,200000023,13.325895733333336,45.49700313333333,5.0378485,3.2831342,6.692825,0.052363854,1.5885731,3.3309488974511625,True
4,2026-03-01 02:00:00+00:00,200000040,13.040771666666668,45.5207788,0.112953424,12.376187,0.7138933,0.006301841,1.7678136,2.99542988948524,True
4,2026-03-01 02:00:00+00:00,200000023,13.261941133333332,45.38614486666667,3.470846,4.522332,5.558551,0.0020227681,0.88156724,2.8870637943502517,True
0,2026-03-01 00:00:00+00:00,200000038,12.482099933333334,45.941591,8.589126,0.22022372,0.12092368,0.084780194,4.7438335,2.751777355372906,True
3,2026-03-01 01:30:00+00:00,200000040,13.0948382,45.52510153333333,2.1248057,7.1604114,2.5088384,0.03662035,1.0485792,2.575851005315781,True
4,2026-03-01 02:00:00+00:00,200000008,12.985885266666664,45.2387358,2.969144,3.1655698,4.7003436,0.014671951,1.7268229,2.5153104601427914,False
7,2026-03-01 03:30:00+00:00,200000040,13.044155,45.47495,0.043989286,7.8833513,1.7547474,0.08194882,2.6503546,2.482878288626671,False
5,2026-03-01 02:30:00+00:00,200000040,13.004099,45.521565,0.17002048,9.634719,0.47056508,0.056422636,1.9141029,2.449165999889374,False
6,2026-03-01 03:00:00+00:00,200000028,13.088329066666669,45.791253866666665,3.042323,1.7938858,5.2702084,0.035658676,1.666911,2.361797396093607,False
4,2026-03-01 02:00:00+00:00,200000014,13.162269866666666,45.7640964,0.26560986,4.122416,6.277354,0.009981885,0.8335113,2.3017745641991496,False
6,2026-03-01 03:00:00+00:00,200000023,13.3923932,45.605980333333335,3.377073,2.191341,4.390077,0.022318542,1.4280596,2.281773841381073,False
6,2026-03-01 03:00:00+00:00,200000015,12.7652114,45.2377758,4.274057,0.28118202,3.0766547,0.26139128,3.2076457,2.2201861083507537,False
5,2026-03-01 02:30:00+00:00,200000003,13.031824266666666,45.322905,1.1659272,1.5845094,5.139209,0.060219456,1.9833133,1.986635623127222,False
6,2026-03-01 03:00:00+00:00,200000013,12.282260133333333,44.75497266666666,0.21506645,0.018202923,0.0018019528,9.224087,0.46403039,1.9846376940840855,False
6,2026-03-01 03:00:00+00:00,200000009,12.307307866666669,44.69056553333333,0.15702638,0.05353496,0.001472227,8.798255,0.58349264,1.9187562338542192,False
6,2026-03-01 03:00:00+00:00,200000003,13.0353206,45.42814293333333,1.4857944,1.8252257,5.6037707,0.044410944,0.6217055,1.916181457042694,False
7,2026-03-01 03:30:00+00:00,200000003,13.040939333333334,45.533333266666666,0.19362475,3.6993186,2.931175,0.0664193,2.5717425,1.8924560457468034,False
6,2026-03-01 03:00:00+00:00,200000040,13.006546333333334,45.50537,0.068684906,7.6631365,0.4673912,0.028776482,0.68653154,1.7829041212797165,False
6,2026-03-01 03:00:00+00:00,200000024,12.673874533333333,44.7966586,0.20892987,0.0016191405,3.8515987e-05,8.156413,0.43420517,1.7602411551590194,False
7,2026-03-01 03:30:00+00:00,200000015,12.7534168,45.3715078,3.2645714,1.9886755,2.4759011,0.022687716,0.6484983,1.6800668086856603,False
4,2026-03-01 02:00:00+00:00,200000003,13.026441533333331,45.2178096,0.33123958,2.6387184,3.7252936,0.024360811,1.5580844,1.6555393528193236,False
3,2026-03-01 01:30:00+00:00,200000038,12.808712866666667,45.54239773333334,6.1566563,0.5702611,0.26427975,0.0021351955,0.91934127,1.5825347201433033,False
3,2026-03-01 01:30:00+00:00,200000039,12.953874133333333,45.364978,4.6005473,1.0270872,0.30337477,0.013178905,1.3911294,1.467063514329493,False
1,2026-03-01 00:30:00+00:00,200000038,12.590970933333333,45.8085268,6.9780526,0.0019832358,0.039437372,0.014701827,0.2185472,1.450544449361041,False
2,2026-03-01 01:00:00+00:00,200000038,12.699841866666668,45.675462,5.98657,0.0008761676,2.5940858e-07,0.030123832,1.0289155,1.4092971329298507,False
5,2026-03-01 02:30:00+00:00,200000014,13.1550104,45.860268866666665,0.19056697,2.0912554,3.5364008,0.03349765,1.1452641,1.3993969984352588,False
1,2026-03-01 00:30:00+00:00,200000015,12.826815266666667,44.57168826666667,2.5326366,0.01246378,0.00025623044,0.0004388966,4.3897696,1.38711302074953,False
6,2026-03-01 03:00:00+00:00,200000025,12.578152533333334,44.548757466666665,0.7976283,0.0020617906,0.0028403937,5.07611,1.0237544,1.3804789424408228,False
