window_id,window_start,mmsi,lat,lon,score,reason,drivers
6,2026-03-01 03:00:00+00:00,200000037,12.59714,44.796206,70.56799080744386,"Flagged because it stopped transmitting for 48 minutes (typical is 2, 100% of the score).","{""mean_speed"": 0.0014, ""speed_change"": 0.0002, ""course_change"": 0.0001, ""gap_minutes"": 0.9977, ""neighbor_count"": 0.0006}"
4,2026-03-01 02:00:00+00:00,200000038,12.878537733333332,45.45402093333334,9.923067375272511,"Flagged because its speed jumped by 10.4 kn between pings (typical is 0.4, 48% of the score) and it turned sharply through 167 degrees (typical is 6, 40% of the score).","{""mean_speed"": 0.0907, ""speed_change"": 0.4788, ""course_change"": 0.3992, ""gap_minutes"": 0.0002, ""neighbor_count"": 0.0311}"
7,2026-03-01 03:30:00+00:00,200000039,12.8794392,45.45992726666667,9.576282374560831,"Flagged because it turned sharply through 160 degrees (typical is 6, 53% of the score) and its speed jumped by 8.8 kn between pings (typical is 0.4, 34% of the score).","{""mean_speed"": 0.0828, ""speed_change"": 0.3395, ""course_change"": 0.5276, ""gap_minutes"": 0.0009, ""neighbor_count"": 0.0493}"
4,2026-03-01 02:00:00+00:00,200000039,12.884196,45.45317286666667,9.375833725836127,"Flagged because it turned sharply through 179 degrees (typical is 6, 53% of the score) and its speed jumped by 9.1 kn between pings (typical is 0.4, 33% of the score).","{""mean_speed"": 0.0986, ""speed_change"": 0.3325, ""course_change"": 0.5343, ""gap_minutes"": 0.0001, ""neighbor_count"": 0.0344}"
10,2026-03-01 05:00:00+00:00,200000040,13.013648666666668,45.517714733333335,7.535700508579612,"Flagged because its speed jumped by 9.0 kn between pings (typical is 0.4, 77% of the score) and it turned sharply through 75 degrees (typical is 6, 23% of the score).","{""mean_speed"": 0.0002, ""speed_change"": 0.7673, ""course_change"": 0.2281, ""gap_minutes"": 0.0003, ""neighbor_count"": 0.0041}"
5,2026-03-01 02:30:00+00:00,200000038,12.879803266666666,45.45240146666666,7.060098404437303,"Flagged because it turned sharply through 179 degrees (typical is 6, 70% of the score) and it slowed almost to a stop at 0.7 kn (typical is 12.3, 25% of the score).","{""mean_speed"": 0.2501, ""speed_change"": 0.0365, ""course_change"": 0.7019, ""gap_minutes"": 0.0016, ""neighbor_count"": 0.0098}"
6,2026-03-01 03:00:00+00:00,200000038,12.879724266666669,45.4523194,6.8804809466004375,"Flagged because it turned sharply through 176 degrees (typical is 6, 72% of the score) and it slowed almost to a stop at 0.9 kn (typical is 12.3, 27% of the score).","{""mean_speed"": 0.2657, ""speed_change"": 0.006, ""course_change"": 0.7151, ""gap_minutes"": 0.0012, ""neighbor_count"": 0.0121}"
1,2026-03-01 00:30:00+00:00,200000040,13.094542999999998,45.61771733333333,6.705315597355366,"Flagged because its speed jumped by 9.0 kn between pings (typical is 0.4, 77% of the score).","{""mean_speed"": 0.1058, ""speed_change"": 0.7663, ""course_change"": 0.0678, ""gap_minutes"": 0.0008, ""neighbor_count"": 0.0593}"
6,2026-03-01 03:00:00+00:00,200000039,12.882817666666666,45.45543466666666,6.669550383836031,"Flagged because it turned sharply through 174 degrees (typical is 6, 70% of the score) and it slowed almost to a stop at 1.0 kn (typical is 12.3, 27% of the score).","{""mean_speed"": 0.2714, ""speed_change"": 0.0136, ""course_change"": 0.6997, ""gap_minutes"": 0.0014, ""neighbor_count"": 0.0139}"
8,2026-03-01 04:00:00+00:00,200000040,13.049543866666664,45.4706266,6.615790596604347,"Flagged because its speed jumped by 9.5 kn between pings (typical is 0.4, 80% of the score).","{""mean_speed"": 0.0703, ""speed_change"": 0.8044, ""course_change"": 0.1194, ""gap_minutes"": 0.0031, ""neighbor_count"": 0.0027}"
7,2026-03-01 03:30:00+00:00,200000038,12.883416866666666,45.44741566666666,6.595028698444367,"Flagged because its speed jumped by 8.5 kn between pings (typical is 0.4, 43% of the score) and it turned sharply through 127 degrees (typical is 6, 37% of the score).","{""mean_speed"": 0.1252, ""speed_change"": 0.4348, ""course_change"": 0.3694, ""gap_minutes"": 0.0014, ""neighbor_count"": 0.0692}"
2,2026-03-01 01:00:00+00:00,200000040,13.079438533333333,45.5636566,6.542707337252796,"Flagged because its speed jumped by 7.2 kn between pings (typical is 0.4, 51% of the score) and it had 2 other vessel(s) close alongside (typical is 0.0, 37% of the score).","{""mean_speed"": 0.0275, ""speed_change"": 0.5099, ""course_change"": 0.0911, ""gap_minutes"": 0.0002, ""neighbor_count"": 0.3712}"
9,2026-03-01 04:30:00+00:00,200000040,13.038636333333333,45.500323,6.493162915110588,"Flagged because its speed jumped by 9.0 kn between pings (typical is 0.4, 83% of the score).","{""mean_speed"": 0.0361, ""speed_change"": 0.826, ""course_change"": 0.1324, ""gap_minutes"": 0.0011, ""neighbor_count"": 0.0044}"
